|    x     |    y     |  c  |us |    out     |OF |eq |
| 00001011 | 00010101 | 000 | 0 |  00000000  | 0 | 0 |
| 00011011 | 00011011 | 000 | 0 |  00000000  | 0 | 1 |
| 10001011 | 01010101 | 001 | 0 |  00000001  | 0 | 0 |
| 10001011 | 01010101 | 010 | 0 |  11011111  | 0 | 0 |
| 10001011 | 01010101 | 011 | 0 |  11011110  | 0 | 0 |
| 00101011 | 01011101 | 100 | 0 |  10001000  | 0 | 0 |
| 01011101 | 00101011 | 101 | 0 |  00110010  | 0 | 0 |
| 10101010 | 01010100 | 100 | 1 |  11111110  | 0 | 0 |
| 10011101 | 00001011 | 101 | 1 |  10010010  | 0 | 0 |
| 00000101 | 00010001 | 110 | 0 |  01010101  | 0 | 0 |
| 00001011 | 11111010 | 111 | 1 |  10111110  | 0 | 0 |
| 10101011 | 01011101 | 100 | 0 |  00001000  | 1 | 0 |
| 10001100 | 10011010 | 100 | 1 |  00100110  | 1 | 0 |
| 00011101 | 10001011 | 101 | 1 |  10010010  | 1 | 0 |
| 11000101 | 00010001 | 110 | 0 |  00010101  | 1 | 0 |
| 11001011 | 10011010 | 111 | 1 |  00011110  | 1 | 0 |
