|        x         |        y         |zx |nx |zy |ny | f |no |       out        |zr |ng |
| 0001101100101011 | 0001010110010001 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 1 | 0 |
| 0001101100101011 | 0001010110010001 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
| 0001101100101011 | 0001010110010001 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
| 0001101100101011 | 0001010110010001 | 0 | 0 | 1 | 1 | 0 | 0 | 0001101100101011 | 0 | 0 |
| 0001101100101011 | 0001010110010001 | 1 | 1 | 0 | 0 | 0 | 0 | 0001010110010001 | 0 | 0 |
| 0001101100101011 | 0001010110010001 | 0 | 0 | 1 | 1 | 0 | 1 | 1110010011010100 | 0 | 1 |
| 0001101100101011 | 0001010110010001 | 1 | 1 | 0 | 0 | 0 | 1 | 1110101001101110 | 0 | 1 |
| 0001101100101011 | 0001010110010001 | 0 | 0 | 1 | 1 | 1 | 1 | 1110010011010101 | 0 | 1 |
| 0001101100101011 | 0001010110010001 | 1 | 1 | 0 | 0 | 1 | 1 | 1110101001101111 | 0 | 1 |
| 0001101100101011 | 0001010110010001 | 0 | 1 | 1 | 1 | 1 | 1 | 0001101100101100 | 0 | 0 |
| 0001101100101011 | 0001010110010001 | 1 | 1 | 0 | 1 | 1 | 1 | 0001010110010010 | 0 | 0 |
| 0001101100101011 | 0001010110010001 | 0 | 0 | 1 | 1 | 1 | 0 | 0001101100101010 | 0 | 0 |
| 0001101100101011 | 0001010110010001 | 1 | 1 | 0 | 0 | 1 | 0 | 0001010110010000 | 0 | 0 |
| 0001101100101011 | 0001010110010001 | 0 | 0 | 0 | 0 | 1 | 0 | 0011000010111100 | 0 | 0 |
| 0001101100101011 | 0001010110010001 | 0 | 1 | 0 | 0 | 1 | 1 | 0000010110011010 | 0 | 0 |
| 0001101100101011 | 0001010110010001 | 0 | 0 | 0 | 1 | 1 | 1 | 1111101001100110 | 0 | 1 |
| 0001101100101011 | 0001010110010001 | 0 | 0 | 0 | 0 | 0 | 0 | 0001000100000001 | 0 | 0 |
| 0001101100101011 | 0001010110010001 | 0 | 1 | 0 | 1 | 0 | 1 | 0001111110111011 | 0 | 0 |
| 0001101100101011 | 1111111010010001 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 1 | 0 |
| 0001101100101011 | 1111111010010001 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
| 0001101100101011 | 1111111010010001 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
| 0001101100101011 | 1111111010010001 | 0 | 0 | 1 | 1 | 0 | 0 | 0001101100101011 | 0 | 0 |
| 0001101100101011 | 1111111010010001 | 1 | 1 | 0 | 0 | 0 | 0 | 1111111010010001 | 0 | 1 |
| 0001101100101011 | 1111111010010001 | 0 | 0 | 1 | 1 | 0 | 1 | 1110010011010100 | 0 | 1 |
| 0001101100101011 | 1111111010010001 | 1 | 1 | 0 | 0 | 0 | 1 | 0000000101101110 | 0 | 0 |
| 0001101100101011 | 1111111010010001 | 0 | 0 | 1 | 1 | 1 | 1 | 1110010011010101 | 0 | 1 |
| 0001101100101011 | 1111111010010001 | 1 | 1 | 0 | 0 | 1 | 1 | 0000000101101111 | 0 | 0 |
| 0001101100101011 | 1111111010010001 | 0 | 1 | 1 | 1 | 1 | 1 | 0001101100101100 | 0 | 0 |
| 0001101100101011 | 1111111010010001 | 1 | 1 | 0 | 1 | 1 | 1 | 1111111010010010 | 0 | 1 |
| 0001101100101011 | 1111111010010001 | 0 | 0 | 1 | 1 | 1 | 0 | 0001101100101010 | 0 | 0 |
| 0001101100101011 | 1111111010010001 | 1 | 1 | 0 | 0 | 1 | 0 | 1111111010010000 | 0 | 1 |
| 0001101100101011 | 1111111010010001 | 0 | 0 | 0 | 0 | 1 | 0 | 0001100110111100 | 0 | 0 |
| 0001101100101011 | 1111111010010001 | 0 | 1 | 0 | 0 | 1 | 1 | 0001110010011010 | 0 | 0 |
| 0001101100101011 | 1111111010010001 | 0 | 0 | 0 | 1 | 1 | 1 | 1110001101100110 | 0 | 1 |
| 0001101100101011 | 1111111010010001 | 0 | 0 | 0 | 0 | 0 | 0 | 0001101000000001 | 0 | 0 |
| 0001101100101011 | 1111111010010001 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111110111011 | 0 | 1 |
